Make,Model,Type,MSRP,Fuel,Air Pollution Score,Invoice,EngineSize,Cert Region,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,Origin,DriveTrain
Acura,3.5 RL 4dr,Sedan,"$43,755",Diesel,5,"$39,014",3.5,CA,6,225,18,24,3880,115,197,Asia,Front
Acura,3.5 RL 4dr,Sedan,"$39,014",Diesel,5,"$43,755",3.5,FA,6,225,18,24,3880,115,197,Asia,Front
Acura,3.5 RL w/Navigation 4dr,Sedan,"$46,100",Diesel,5,"$41,100",3.5,FA,6,225,18,24,3893,115,197,Asia,Front
Acura,3.5 RL w/Navigation 4dr,Sedan,"$41,100",Diesel,5,"$46,100",3.5,CA,6,225,18,24,3893,115,197,Asia,Front
Chrysler,300M 4dr,Sedan,"$29,865",Hydrogen,5,"$27,797",3.5,CA,6,250,18,27,3581,113,198,USA,Front
Chrysler,300M 4dr,Sedan,"$27,797",Hydrogen,5,"$29,865",3.5,FA,6,250,18,27,3581,113,198,USA,Front
Chrysler,300M Special Edition 4dr,Sedan,"$33,295",Hydrogen,5,"$30,884",3.5,FA,6,255,18,27,3650,113,198,USA,Front
Chrysler,300M Special Edition 4dr,Sedan,"$30,884",Hydrogen,5,"$33,295",3.5,FA,6,255,18,27,3650,113,198,USA,Front
BMW,325Ci 2dr,Sedan,"$30,795",Electric,5,"$28,245",2.5,FA,6,184,20,29,3197,107,177,Europe,Rear
BMW,325Ci 2dr,Sedan,"$28,245",Electric,5,"$30,795",2.5,FA,6,184,20,29,3197,107,177,Europe,Rear
BMW,325Ci convertible 2dr,Sedan,"$37,995",Electric,5,"$34,800",2.5,FA,6,184,19,27,3560,107,177,Europe,Rear
BMW,325Ci convertible 2dr,Sedan,"$34,800",Electric,5,"$37,995",2.5,FA,6,184,19,27,3560,107,177,Europe,Rear
BMW,325i 4dr,Sedan,"$28,495",Electric,5,"$26,155",2.5,FA,6,184,20,29,3219,107,176,Europe,Rear
BMW,325i 4dr,Sedan,"$26,155",Electric,5,"$28,495",2.5,FA,6,184,20,29,3219,107,176,Europe,Rear
BMW,325xi 4dr,Sedan,"$30,245",Electric,5,"$27,745",2.5,FA,6,184,19,27,3461,107,176,Europe,All
BMW,325xi 4dr,Sedan,"$27,745",Electric,5,"$30,245",2.5,FA,6,184,19,27,3461,107,176,Europe,All
BMW,325xi Sport,Wagon,"$32,845",Electric,5,"$30,110",2.5,FA,6,184,19,26,3594,107,176,Europe,All
BMW,325xi Sport,Wagon,"$30,110",Electric,5,"$32,845",2.5,FA,6,184,19,26,3594,107,176,Europe,All
BMW,330Ci 2dr,Sedan,"$36,995",Electric,5,"$33,890",3,FA,6,225,20,30,3285,107,176,Europe,Rear
BMW,330Ci 2dr,Sedan,"$33,890",Electric,5,"$36,995",3,FA,6,225,20,30,3285,107,176,Europe,Rear
BMW,330Ci convertible 2dr,Sedan,"$44,295",Electric,5,"$40,530",3,FA,6,225,19,28,3616,107,177,Europe,Rear
BMW,330Ci convertible 2dr,Sedan,"$40,530",Electric,5,"$44,295",3,FA,6,225,19,28,3616,107,177,Europe,Rear
BMW,330i 4dr,Sedan,"$35,495",Electric,5,"$32,525",3,FA,6,225,20,30,3285,107,176,Europe,Rear
BMW,330i 4dr,Sedan,"$32,525",Electric,5,"$35,495",3,FA,6,225,20,30,3285,107,176,Europe,Rear
BMW,330xi 4dr,Sedan,"$37,245",Electric,5,"$34,115",3,FA,6,225,20,29,3483,107,176,Europe,All
BMW,330xi 4dr,Sedan,"$34,115",Electric,5,"$37,245",3,FA,6,225,20,29,3483,107,176,Europe,All
Nissan,350Z coupe 2dr,Sports,"$26,910",Diesel,5,"$25,203",3.5,FA,6,287,20,26,3188,104,169,Asia,Rear
Nissan,350Z coupe 2dr,Sports,"$25,203",Diesel,5,"$26,910",3.5,FA,6,287,20,26,3188,104,169,Asia,Rear
Nissan,350Z Enthusiast convertible 2dr,Sports,"$34,390",Diesel,5,"$31,845",3.5,FA,6,287,20,26,3428,104,169,Asia,Rear
Nissan,350Z Enthusiast convertible 2dr,Sports,"$31,845",Diesel,5,"$34,390",3.5,FA,6,287,20,26,3428,104,169,Asia,Rear
Toyota,4Runner SR5 V6,SUV,"$27,710",Diesel,5,"$24,801",4,FA,6,245,18,21,4035,110,189,Asia,Front
Toyota,4Runner SR5 V6,SUV,"$24,801",Diesel,5,"$27,710",4,FA,6,245,18,21,4035,110,189,Asia,Front
BMW,525i 4dr,Sedan,"$39,995",Electric,5,"$36,620",2.5,FA,6,184,19,28,3428,114,191,Europe,Rear
BMW,525i 4dr,Sedan,"$36,620",Electric,5,"$39,995",2.5,FA,6,184,19,28,3428,114,191,Europe,Rear
BMW,530i 4dr,Sedan,"$44,995",Electric,5,"$41,170",3,FA,6,225,20,30,3472,114,191,Europe,Rear
BMW,530i 4dr,Sedan,"$41,170",Electric,5,"$44,995",3,FA,6,225,20,30,3472,114,191,Europe,Rear
BMW,545iA 4dr,Sedan,"$54,995",Electric,5,"$50,270",4.4,FA,8,325,18,26,3814,114,191,Europe,Rear
BMW,545iA 4dr,Sedan,"$50,270",Electric,5,"$54,995",4.4,FA,8,325,18,26,3814,114,191,Europe,Rear
BMW,745i 4dr,Sedan,"$69,195",Electric,5,"$63,190",4.4,FA,8,325,18,26,4376,118,198,Europe,Rear
BMW,745i 4dr,Sedan,"$63,190",Electric,5,"$69,195",4.4,FA,8,325,18,26,4376,118,198,Europe,Rear
BMW,745Li 4dr,Sedan,"$73,195",Electric,5,"$66,830",4.4,FA,8,325,18,26,4464,123,204,Europe,Rear
BMW,745Li 4dr,Sedan,"$66,830",Electric,5,"$73,195",4.4,FA,8,325,18,26,4464,123,204,Europe,Rear
Porsche,911 Carrera 4S coupe 2dr (convert),Sports,"$84,165",Electric,5,"$72,206",3.6,FA,6,315,17,24,3240,93,175,Europe,All
Porsche,911 Carrera 4S coupe 2dr (convert),Sports,"$72,206",Electric,5,"$84,165",3.6,FA,6,315,17,24,3240,93,175,Europe,All
Porsche,911 Carrera convertible 2dr (coupe),Sports,"$79,165",Electric,5,"$69,229",3.6,FA,6,315,18,26,3135,93,175,Europe,Rear
Porsche,911 Carrera convertible 2dr (coupe),Sports,"$69,229",Electric,5,"$79,165",3.6,FA,6,315,18,26,3135,93,175,Europe,Rear
Porsche,911 GT2 2dr,Sports,"$192,465",Electric,5,"$173,560",3.6,FA,6,477,17,24,3131,93,175,Europe,Rear
Porsche,911 GT2 2dr,Sports,"$173,560",Electric,5,"$192,465",3.6,FA,6,477,17,24,3131,93,175,Europe,Rear
Porsche,911 Targa coupe 2dr,Sports,"$76,765",Electric,5,"$67,128",3.6,FA,6,315,18,26,3119,93,175,Europe,Rear
Porsche,911 Targa coupe 2dr,Sports,"$67,128",Electric,6,"$76,765",3.6,FA,6,315,18,26,3119,93,175,Europe,Rear
Saab,9-3 Aero 4dr,Sedan,"$33,360",Electric,6,"$31,562",2,FA,4,210,20,28,3175,105,183,Europe,Front
Saab,9-3 Aero 4dr,Sedan,"$31,562",Electric,6,"$33,360",2,FA,4,210,20,28,3175,105,183,Europe,Front
Saab,9-3 Aero convertible 2dr,Sedan,"$43,175",Electric,6,"$40,883",2,FA,4,210,21,30,3700,105,182,Europe,Front
Saab,9-3 Aero convertible 2dr,Sedan,"$40,883",Gasline,6,"$43,175",2,FA,4,210,21,30,3700,105,182,Europe,Front
